Crop Type,Soil Type,Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Water Requirement (L/sq.m)
Wheat,Silt,31.83,68.2,42.28,2.65,3.42
Wheat,Sandy,11.47,53.97,93.81,244.31,0.0
Soybean,Silt,42.05,46.77,95.93,264.71,0.0
Barley,Silt,13.15,52.3,10.12,204.36,0.0
Sugarcane,Sandy,38.97,48.61,58.02,228.59,0.0
Wheat,Peat,19.97,15.59,3.58,20.32,3.95
Rice,Silt,43.99,73.02,97.21,232.81,0.0
Maize,Loamy,13.75,11.31,86.82,61.96,0.0
Sugarcane,Sandy,34.02,24.71,32.62,175.93,0.0
Soybean,Silt,34.42,31.16,41.46,181.5,0.0
Maize,Sandy,38.84,87.45,68.33,197.49,0.0
Soybean,Sandy,24.21,39.79,91.99,51.14,0.0
Wheat,Clay,18.91,71.93,73.37,184.46,0.0
Wheat,Clay,19.95,20.43,11.17,230.7,0.0
Barley,Clay,19.58,14.28,67.15,21.47,3.1
Wheat,Silt,31.65,27.24,41.45,35.41,4.55
Maize,Silt,34.33,15.6,13.89,23.1,7.35
Tomato,Loamy,41.09,32.53,17.24,122.71,0.0
Cotton,Peat,33.6,22.48,79.45,280.83,0.0
Cotton,Clay,10.49,72.92,19.66,17.21,0.0
Sugarcane,Silt,21.5,35.55,91.31,143.08,0.0
Tomato,Clay,20.85,20.55,73.29,84.83,0.0
Maize,Silt,38.32,61.03,99.96,256.74,0.0
Barley,Silt,18.29,18.36,80.65,153.26,0.0
Sugarcane,Peat,23.9,82.41,10.85,90.61,0.0
Rice,Loamy,40.36,56.44,92.7,178.75,0.0
Cotton,Clay,19.51,72.18,74.0,23.81,0.0
Cotton,Peat,21.82,85.49,3.93,234.28,0.0
Sugarcane,Clay,15.13,47.75,59.47,26.65,0.0
Tomato,Sandy,34.78,35.69,50.28,200.4,0.0
Wheat,Silt,32.12,33.88,72.72,55.53,1.68
Maize,Loamy,42.13,24.23,12.35,225.23,0.0
Soybean,Clay,36.05,21.34,91.0,219.43,0.0
